Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4049981,4049981,0,175.700,13.993,65.143,0,7.550,151,0.250,1,-10921639,881.048,881,635,1224,18502,149.028,0.300,0.108,1.151
ID4052113,4052113,0,221.239,14.022,65.100,0,7.600,152,0.250,1,-10921639,933.667,893,632,1284,19607,186.301,0.588,0.137,1.207
ID4051435,4051435,0,281.395,14.019,65.168,0,7.650,153,0.250,1,-10921639,960.524,916,603,1594,20171,242.094,0.300,0.141,0.983
ID4054236,4054236,0,272.994,13.963,65.131,0,7.700,154,0.250,1,-10921639,946.952,915,569,1503,19886,250.777,0.300,0.147,0.969
ID4052844,4052844,0,233.681,13.989,65.176,0,7.750,155,0.250,1,-10921639,965.429,969,578,1472,20274,206.437,0.586,0.140,1.146
ID4053525,4053525,0,190.448,14.031,65.136,0,7.800,156,0.250,1,-10921639,897.286,853,629,1240,18843,160.973,0.800,0.106,1.066
ID4056351,4056351,0,232.414,13.945,65.134,0,7.850,157,0.250,1,-10921639,920.476,914,664,1456,19330,207.273,0.300,0.135,1.059
ID4055638,4055638,0,199.282,13.953,65.128,0,7.900,158,0.250,1,-10921639,888.905,836,679,1168,18667,144.614,0.300,0.120,1.322
ID4054934,4054934,0,150.360,13.906,65.182,0,7.950,159,0.250,1,-10921639,831.905,812,562,1217,17470,146.272,0.300,0.082,0.865
ID4057045,4057045,0,189.249,13.976,65.099,0,8.000,160,0.250,1,-10921639,866.619,854,588,1359,18199,211.247,0.300,0.098,0.734
ID4057744,4057744,0,81.327,14.035,65.184,0,8.050,161,0.250,1,-10921639,822.381,795,588,1154,17270,130.404,0.824,0.064,0.757
ID4058444,4058444,0,174.480,13.974,65.138,0,8.100,162,0.250,1,-10921639,832.714,834,541,1201,17487,143.408,0.848,0.102,1.080
ID4059136,4059136,0,237.165,13.985,65.129,0,8.150,163,0.250,1,-10921639,915.095,913,661,1285,19217,186.027,0.400,0.135,1.172
ID4059828,4059828,0,193.520,13.997,65.138,0,8.200,164,0.250,1,-10921639,878.762,850,585,1196,18454,183.616,0.400,0.125,1.063
ID4060564,4060564,0,191.089,14.067,65.057,0,8.250,165,0.250,1,-10921639,900.714,923,689,1206,18915,163.787,0.596,0.099,0.992
ID4061256,4061256,0,129.613,13.891,65.100,0,8.300,166,0.250,1,-10921639,838.000,815,559,1304,17598,194.596,0.300,0.098,0.766
ID4061935,4061935,0,120.298,14.025,65.126,0,8.350,167,0.250,1,-10921639,825.762,786,589,1415,17341,184.023,0.598,0.091,0.751
ID4062652,4062652,0,178.007,13.993,65.159,0,8.400,168,0.250,1,-10921639,855.286,815,576,1380,17961,182.541,0.300,0.106,0.894
ID4063345,4063345,0,167.460,13.982,65.064,0,8.450,169,0.250,1,-10921639,837.333,842,537,1283,17584,165.141,0.597,0.103,0.949
ID4064011,4064011,0,95.717,14.017,65.156,0,8.500,170,0.250,1,-10921639,767.381,747,603,981,16115,96.819,0.594,0.077,1.127
ID4064691,4064691,0,107.583,14.004,65.133,0,8.550,171,0.250,1,-10921639,779.857,778,588,1001,16377,105.699,0.590,0.064,0.888
ID4065390,4065390,0,164.689,13.960,65.087,0,8.600,172,0.250,1,-10921639,853.476,850,632,1220,17923,151.204,0.300,0.093,0.959
ID4066083,4066083,0,187.068,13.986,65.112,0,8.650,173,0.250,1,-10921639,895.048,877,678,1358,18796,161.860,0.595,0.134,1.303
ID4066743,4066743,0,143.525,13.975,65.023,0,8.700,174,0.250,1,-10921639,797.048,761,577,1249,16738,181.090,0.300,0.088,0.711
ID4067459,4067459,0,201.160,13.931,65.053,0,8.750,175,0.250,1,-10921639,842.571,819,643,1132,17694,151.453,0.300,0.118,1.172
ID4068143,4068143,0,158.290,13.960,65.154,0,8.800,176,0.250,1,-10921639,842.190,805,580,1208,17686,157.804,0.562,0.097,0.945
ID4068828,4068828,0,203.667,13.977,65.073,0,8.850,177,0.250,1,-10921639,867.190,863,633,1206,18211,185.831,0.300,0.112,0.939
ID4069514,4069514,0,105.879,14.065,65.051,0,8.900,178,0.250,1,-10921639,804.571,788,625,1054,16896,114.896,0.597,0.074,0.966
ID4070212,4070212,0,67.204,13.979,65.100,0,8.950,179,0.250,1,-10921639,725.238,712,574,997,15230,121.572,0.400,0.045,0.512
ID4070864,4070864,0,104.492,13.968,64.952,0,9.000,180,0.250,1,-10921639,774.810,807,626,971,16271,100.059,0.800,0.051,0.755
ID4071526,4071526,0,124.010,14.022,65.134,0,9.050,181,0.250,1,-10921639,754.905,767,557,1040,15853,140.999,0.300,0.054,0.544
ID4072179,4072179,0,94.070,14.337,65.025,0,9.100,182,0.250,1,-10921639,779.619,788,573,894,16372,82.712,0.400,0.046,0.823
ID4049977,4049977,2,68.689,16.128,64.602,0,7.550,151,0.250,1,-10921639,728.667,745,564,850,15302,86.825,0.300,0.027,0.448
